#,Version,fileName,methodName,nAuth,methodHistories,loc,fain,fanout,wmc,returns,loops,comparison,maxNested,math,smells,buggy
"1","4.0.0","ClientConfiguration.java","getClientTcpNoDelay","1","1","3","0","0","1","1","0","0","0","0","1","no"
"1","4.0.0","ServerConfiguration.java","setZkServers","2","2","4","0","0","1","1","0","0","0","0","2","no"
"1","4.0.0","ServerConfiguration.java","getLedgerDirNames","1","1","7","1","0","2","2","0","1","1","0","4","no"
"1","4.0.0","ServerConfiguration.java","setZkTimeout","3","3","4","0","0","1","1","0","0","0","0","2","no"
"1","4.0.0","ServerConfiguration.java","getZkTimeout","1","1","3","0","0","1","1","0","0","0","0","1","no"
"1","4.0.0","ServerConfiguration.java","ServerConfiguration","0","0","4","0","0","1","0","0","0","0","0","1","no"
"1","4.0.0","ServerConfiguration.java","getServerTcpNoDelay","1","1","3","0","0","1","1","0","0","0","0","1","no"
"1","4.0.0","ServerConfiguration.java","setFlushInterval","2","2","4","0","0","1","1","0","0","0","0","2","no"
"1","4.0.0","ServerConfiguration.java","setMaxJournalSize","2","2","4","0","0","1","1","0","0","0","0","2","no"
"1","4.0.0","ServerConfiguration.java","ServerConfiguration","0","0","3","0","0","1","0","0","0","0","0","1","no"
"1","4.0.0","ServerConfiguration.java","setBookiePort","2","2","4","0","0","1","1","0","0","0","0","2","no"
"1","4.0.0","ServerConfiguration.java","setLedgerDirNames","2","2","7","0","0","2","2","0","1","1","0","4","no"
"1","4.0.0","ServerConfiguration.java","setEntryLogSizeLimit","2","2","4","0","0","1","1","0","0","0","0","2","no"
"1","4.0.0","ServerConfiguration.java","setServerTcpNoDelay","2","2","4","0","0","1","1","0","0","0","0","2","no"
"1","4.0.0","ServerConfiguration.java","setGcWaitTime","2","2","4","0","0","1","1","0","0","0","0","2","no"
"1","4.0.0","ServerConfiguration.java","setJournalDirName","2","2","4","0","0","1","1","0","0","0","0","2","no"
"1","4.0.0","ServerConfiguration.java","setMaxBackupJournals","2","2","4","0","0","1","1","0","0","0","0","2","no"
"1","4.0.0","ServerConfiguration.java","getJournalDir","1","1","7","0","1","2","2","0","1","1","0","2","no"
"1","4.0.0","ServerConfiguration.java","getLedgerDirs","1","1","11","0","1","3","2","1","1","1","0","3","no"
"1","4.0.0","AbstractZkLedgerManager.java","close","1","1","2","0","0","1","0","0","0","0","0","2","no"
"1","4.0.0","AbstractZkLedgerManager.java","isSpecialZnode","1","1","6","1","0","3","2","0","0","1","0","4","no"
"1","4.0.0","AbstractZkLedgerManager.java","AbstractZkLedgerManager","0","0","5","0","0","1","0","0","0","0","0","4","no"
"1","4.0.0","AbstractZkLedgerManager.java","getLedgersInSingleNode","1","1","25","0","2","4","1","0","2","1","2","2","no"
